article,label
"Super news comes the Italians make the discovery that will return us to Covid-19th in the first study, we put the virus in the water, exposing them to UV-C, UV-B and UV rays.After a few seconds these rays disappeared the virus ”.Mario Clerici has stated that this study is very important.In autumn and winter, UV bulbs can be placed in schools which sterilize classes.These bulbs can sterilize clothes in the dressing rooms, etc.They cannot be used in front of people because they can be toxic to the skin, but there is an idea of ​​using lamps in class and after learning. ""Be careful because the virus has not changed and it has not become easier, it continues to beharsh.No one can say what will happen in the fall, but I think it will be less dangerous, because we have now discovered that the virus can be bombed with these rays and we know how to intervene, ”he said MaBelow you definitely look at that moment is definitely a few seconds after you have opened the marketing the full article opens",0
"Do you believe it or not?This is Albin Kurti's property! The leader of the Self -Determination Movement Albin Kurti has declared immovable property of his wife's apartment in Oslo, Norvergia worth 400 thousand euros. For this dwelling in the declaration of property to the Anti -Corruption Agency, Kurti's wife receivedCredit 270 thousand euros. Annual income Kurti has declared the salary of MP 19,189 euros. While his wife's annual salary in Oslo has stated 42,240 euros below you find the footage of the house where Albini is also speaking",0
"Duda Balje 'hits', poses by making the eagle with the hand of the Assembly of Kosovo, Duda Balje besides being a very beautiful and elegant woman.Exterior, so it is often commented on the pink media, writes Indeksonline. The 42 -year -old MP is a mother of three, a girl and two sons.",0
"Labinot Tahiri: Weddings should be held, 700 million euros cost Kosovo's debate on weddings and organizations that will be held this year.must be held because they dedicate to Kosovo and thousands of employees in this activity.",0
"Albin Kurti gives the big news: finally everything ends, congratulations to Kosovo Self-Determination Chairman Albin Kurti has left to meet with LDK leaders. He said before the media that the agreement with Isa Mustafa isVery close, Klan Kosova reports. “The opportunities are, and I hope that after resuming the talks we will move swiftly towards the agreement which is very close to the picture in the picture below this article open the footage and follow it",0
"'Serbia surrenders' / the number of victims from the virus in Serbia broke the world record record has recorded 18 new casualties as a result of the infection in the past 24 hours. The Serbian Prime Minister, Ana Bernabic, announced on Friday,as the most severe day since the beginning of the pandemia. ""So far the most critical situation is in Belgrade, then Kragujevc and Novi Pazar./ 5 sеkondа tsi to be marketing",0
"This article carries her child to the back every day, what a mother's acrobatian ""we have no economic opportunity to send the girl to school.Only KEMP has a small economic assistance as a source of income.They don't come out.I take it to my arms to school.The girl will not stay home. It is too much wall, I wanted to check it at SP Ital.In Tirana in SP Ital I asked but I was not imposed.I was not given me.I want you wish transportation.I told the teacher I will bring him for the exam too, then I can no longer take him to school.The girl saw me with me.In the lessons is the first in the classroom.Even in the rain, in AC gold lead to school.We have not done any shortages at school all year.I lay down there are full.Even when we go to Tirana we can hardly move.Transport is very pro Blem ”",0
"Fatmir Limaj if Albini in the new elections wins only 20% I will give his resignation by politician Limaj: Albini did not even go to new elections.wide government of unity and against new elections.In the Vetevendosje Movement they have warned several times that they are against a comprehensive government, demanding the maintenance of early elections.In the Vetevendosje Movement they have warned several times that they are against a comprehensive government, demanding the maintenance of early elections.In the Vetevendosje Movement they have warned several times that they are against a comprehensive government, demanding the holding of early elections.",0
"Sell ​​iPhone X Price Only 200 euros Hurry Limited Quantity Opening Opening of Our New Shop We have made an iPhone X promotional offer with only 150 euro quantity is only 100 pieces because our store is named Mobi Shop 100kosovaper More Print ReranmenSubsequently and gets contact number at Mobi Shop 100kosova Ja and Video Printed Recl, AM and watch it",0
"Dies from Covid-19 Rheumatology physician, Sylejman Rexhepimi of the Rheumatology Clinic, Sylejman Rexhepi, died last night after being infected with Covid-19. Lajmin for KALLXO.com was confirmed by Avni Kryeziu, director of this clinic.has announced that the professor died last night, ”Kryeziu said. Rexhepi is the second doctor to die within 24 hours in Kosovo after the death of a doctor at the Gjakova Regional Hospital, Ali Tolaj.Fadil Zuka also died this week. There are 6,467 infected people in Kosovo, 3,505 people healed while 158 died",1
"The truth of how Montenegro was made by Albanians in Albanian lands shocked the world -bodied Opionion, the invaders planted our distrust, disruption, quarrel, fear, dissatisfaction, doubt.We were planted by the fratricide.We were planted black and black.The invaders planted death.We were always able to ""sow and not harvest"".Where we plant we did not harvest, we could not get our feet in our lands that we had to always gather the loot and escape we had to escape to escape the massacres, death, something we had to be saved and this is what we are today./ We invite you to open the marketing for 5 seconds and exclusive footage appears",0
"Afrona: Stressed, depressed but still dressed in good -standing someone is continuing to be active on social networks with images from her job and daily life.communicating with many fans who like and love. Lastly it comes with photos from the elevator with an interesting position and style. ""Stressed, depressed but still well dressed,"" the model wrote alongside the image on Instagram. Remember thatAfrona months ago she married the famous singer Blero, but who is living away from the other's work and career.",1
"Italy makes a final decision for the state of Kosovo and appeals throughout Europe for 24 -month isolation? The Ministry of Foreign Affairs of Italy has published a list of countries that it calls it as a non -stable coronavirus condition.13 countries are not included Kosovo, Treansonon Indeksonline. The places included are: Armenia, Bahrain, Bangladesh, Brazil, Bosnia and Herzegovina, Chile, Kuwait, North Macedonia, Moldova, Oman, Panama, Peru and the Dominican Republic./ 5 sеkondа tsi to be marketing",0
"Historian Jahja Drancolli publishes Dardania Historian Jahja Drancolli on the social network Facebook, posted the emblem of Dardania.In the white and high -raised field. According to it, here is the weapon called Darda, and the crown is dedicated to Justinian. Complete Postal: Dardania's emblem in which the red lion appears, ancient toes of the rankfirst military, shield in white field raised high.Especially the weapon is called Darda, while the crown is dedicated to Justinian, an excellent emperor of Dardanian origin.Content refers to the announcements of Virgil, which is about the origin of Dardan from the Troy of Dardanelles, the region of today's Istanbul region! Source: Bibliotheca Rhacus",1
"Arbana Xharra: Kadri Veseli is to blame, who allowed the shamiyyah, but you know that you know well! Yesterday the Democratic Party of Kosovo adhered Besa Ismaili, a professor at the Faculty of Islamic Studies.Even Arbana Xharra, adviser to PDK leader Kadri Veseli. He said there is nothing against Ismail's ""scarf"", but that there were problems with him because of articles on religious extremism./ We invite you to open the marketing for 5 seconds and exclusive footage appears",0
"Will Eid al -Adha be prayed in the mosque?- Zemaj: Mass rallies, from the next day, will be detained the Minister of Health Armend Zemaj has spoken about the new measures proposed by the government in the context of stopping Koronavirus. Speaking about the stop of public activities, Zemaj said thatThey do not stop the Eid al -Adha forgiveness, however there will be another form of this ritual of this holiday. ”All measures to be taken from yesterday will limit many moves of public activities.” Tomorrow we will have other contacts, and anything that will be in accordance with epidemiological evaluation.I am not committed to allowing Eid al -Adha forgiveness. ""We give recommendations for the stop of public activities.It is important for us that the measures do not accumulate in any form or any activity ”.” We will stop all public gatherings.Mass gatherings will be banned from the next day ”",1
"They crumbled to the whale, but what they found inside the whole lamps the womb, but what they found inside all the Balenas are one of the most magnificent creatures in the animal world.However, it is slowly being exchanged by us.It is increasingly common to see these whales up to 20.5 meters on the beaches./ 5 seconds after you have opened the marketing opens the full item",0
"Citizens do not respond to the organizer's invitation to protest against the mosque of the led by BNAK Gadhi's invitation to protest against the large mosque. There were only some protesters who did not know even though they were protesting.Former commander of the Kosovo Liberation Army, already part of the KLA OVL. He has criticized the fact that the mosque is funded by Turkey, while saying that Kosovo is not a province of Turkey, but ""History of Illyria sincePelasgian Time ”.. While last night a television survey best reflected the citizens' great desire for the Great Mosque.There they voted for about 30,000 citizens",1
"Bill Gates: I do not understand why people do not carry massewer from the richest people in the world, Bil Gates, said he does not understand why people refuse to hold masks that protect against coronavirus, given that they are neither annoying andnor do they cost much. Microsoft's founder has been involved in projects related to health for years, and warned of the risk of a pandemic in 2015. She was often asked about developments related to spreadof the coronavirus. ""It's hard to understand why people don't keep masks, they are not annoying,"" Gates said during a virtual meeting for the US FastCompany magazine., despite the risk of infecting other people. ""He also said he seems"" scary ""that his name is often associated with various conspiracy theories. He said that in a crisis like what we are going through now, it isnecessary to adhere to the facts.Gates also express concern that conspiracy theories will lead to refusing to keep the mask, especially in the US, and that these theories will also cause vaccination refusal if such is revealed innear future",1
"Eid al-Adha in the mosque, the Health Union warns of increasing the number of cases with Covid-19kosova is in the alarmous phase of cases with Covid-19. Finally, every day at the national level is turning over 200 people.that the Government of Kosovo will allow Eid prayer in the country's mosques, but the Federation of Health Appeals to care for making decisions on public gatherings.For KALLXO.com, Blerim Syla from the Kosovo Health Union. “I have no information yet.Tomorrow we will surely have a meeting with them and the committee.Any gathering that exceeds the number of 50 people increases the number of infection.We are witnesses of various gatherings where they have increased cases, ”he said. In addition to ordinary citizens, Coronavirus infection has also affected the health staff in the country, thus aggravating the situation in the country.The consequence of Coronavirus. So far in Kosovo there are 6917 people infected by Covid-19, of which 3753 people have healed and 169 others have died",1
The Inspectorate obliges people to wear masks even within the premises inspectorate and the Kosovo Police have taken action tonight in the premises of Pristina to see how the anti-Covid measures laid by the Government of Kosovo are being respected.Police and Inspectorate action until there were interviews from the protagonists,1
"Vucic: Thank you for those 4,000 Albanians who come to me, they have confidence in me!Vucic's party has a winner in the extension, as it was P. Arapars.But, the EU is the factor that in the country.of Vucic in the valley.The Serbian president's party has also increased in Bujanovac, but thanks to Albanian politics and the engagement of Albanian politics, Bujanovac has nevertheless breathed Albanian in yesterday.He in the end thanks for those voices who have voiced and says they have confidence in me Stipe Re Lamen and look at what Vucic says about Albanians",0
"Prepare, from tomorrow there will be no more… The news is learned that it will be closed again… prepare, from tomorrow there will be no more… The news is learned that it will be closed again… Just 1 week after reopening, urban transport can be closed again and travelers will be left withoutbuses. For this decision, urban transport vehicles have been moved with only 30% of capacity, making companies suffer large losses.For companies to have lost about 3 million ALL old oil not compensated by travelers.",0
"Molliqaj: 5-6 friends of Rexhep Selimi told me that he ""sang"" AAK Special Court, Ramush Haradinaj, years ago said that MP Rexhep Selimi was interviewed by half Kata Cial and that he ""sung"".There is no thing to do with this, ""Haradinaj had declined, saying that MP Selimi has insulted, responded and was not silent./ We invite you to open the marketing for 5 seconds and exclusive footage appears",0
"The petition against the appearance of Kosovo as part of Serbia in Maps A petition has begun against the appearance that Apple Maps is making to Kosovo, which it presents as part of Serbia. Megi C launched this petition for Apple Inc Apple, as it is very worrying thatKosovo does not appear on Apple Maps. “You can hardly see its borders and the worst thing is that it is part of Serbia.This should change as soon as possible because Kosovo is an independent country since 2008, ”reads the announcement",1
"The Serbian film about the yellow house, the Kosovar actress writes to Hollywood actor: Do not agree to play for well -known Kosovo propaganda, Aurita Agushi has dedicated an open letter to renowned actor Harvey Keitel.The latter is said to have been proposed to play the role of Slobodan Milosevic in a film (Serbian production) that will tell the story of the so -called ""Yellow House"". In her letter, the actress asks Keitel not toAccept the role, as it was merely a pure Serbian propaganda in order to injure an entire people.Please do not do it because you will hurt over 13,000 Albanian civilians killed, among them children, young, pregnant women, and my elderly.and my brothers. And moreover knitting plans in my head for a quick death so that such a thing would not happen to me, ”the full-fond of Harveykeitel reads, I was listening to RTK newsTonight, and your name was mentioned for your possible an English manner in a Serbian propaganda film, for the so -called ""Yellow House"" inexistence house, where Albanians have perfected crimes on the Serbian civilian population.The Albanian people have been the victim of the Milosevic regime, also known as the Balkan butcher.I know that I do not want to tell you what to play and what not.But now it is about a propaganda of the Serbian state. Many loveharvey, I am an actress myself, and you have often been an inspiration to me.But Julutem too do not do so, because you would hurt a people.You would hurt a people who were at risk of ethnic cleansing.Do not do it, because you will hurt over 13,000 Albanian civilians killed, in their children, young, pregnant women, and the elderly. They will hurt 20,000 raped women.You would hurt the 1653 families of the paid people who still do not have a grave where their relatives are crying.Throughout the war I have been to Kosovo, and you know what was my greatest fear dear Harvey?!Not by death, because in war one can also be killed, but my biggest fear has been that I can be raped in the eyes of my father and brothers.And moreover, knitting plans in my head for a death to be not to happen to me. I remember the dear Harvey that NATO intervened in 1999 to save a people from ethnic cleansthe second.So much dear Harvey please do not do it because it does not honor a propaganda film of a regime that waged three war within 10 years in the Balkans leaving hundreds of thousands of tombs behind.",1
"The court in Gjilan decides on the suspect in the murder of the woman with the metallic rod, Gjilan / Gnjilane has ordered the detention on the suspect in the murder of the woman with metallic rod. Delegation the suspect has been assigned for 30 days.According to the court, the case is suspected to have occurred after family disputes, where the suspect with a strong means - metal rod, strikes his wife in the head and other parts of the body, causing wounds that were deadly.For detention have the right to appeal to the Court of Appeal",1
"Meet the laughter epidemic, the 'disease' that closed 14 schools that laughing is not harmless as it seems, the data on the ""Laughter Epidemia"", which 52 years ago attacked Tanganyikan.When the mass hysteria exploded, which is believed to have begun near the village of Kashasha, on the western coast of Lake Victoria, on January 30. Symptoms that the sick showed, besides laughter, were also painful, ofFika, swelling, breathing problems, sukrepi, crying attack, without control. Laughter's epidemic started at the girls' school led by missionaries., more precisely 95 of them from 159 students aged 12 to 18 years old. Symptoms in the infected have lasted from several hours to 16 days., which had to be interrupted very soon, while the school is closed. Since the students were released to go home, the epidemic spread to the NSHBA, a village in which most students of this school lived.217 people hit, most students and young people and adults. School again opened in May of that year, but because of this epidemic it was again closed in June.48 girls were laughter. But there was not the end of the epidemic there, laughter actually spread to other Tanganyikas places, which is now part of the African state Tanzani.The phenomenon began to extinguish. Due to this epidemic, 14 schools were closed and attacked about 1,000 people.",1
"""I will always remember dear ...""/ Who is the 27-year-old who lost his life from Covid, the touching dedication from his neighbor ""I will always remember dear ...""/ Who is the 27-year-old who lost his life by Covid, the touching dedication fromThe relative of today among 5 victims from Covid -19 was also a 27 -year -old from Kavaja.that he was asymptomatic and died as a result of the cerebral vascular accident.He writes that the 27-year-old was affected by Koronavirus, despite the MoH statement and called for everyone to be careful.I will always remember your dear, with your special laughter.May Allah unite us in Hell.Coronavirus black reality.Co -citizens. Also in the media have also been circulated in the media, claiming that the young man was not provided with appropriate medical service from national emergency, and even his family had written to Prime Minister Rama on the matter",0
"Arjola Demiri crazy the network with black Kosovo blacks she became known for her role in the series ""How Good"". But now in Albania she has returned to the theater but also in long feature films.Presented with a slightly excessive make -up while wearing black dresses. ""Black Return"", the Albanian actress wrote. It seems that the actress has made a new photo shoot",1
"Forgot that he was on a live show and did so, reaches 9 million viewers for 2 minutes, here's why! For those who think that work on television is easy, they are completely wrong, people working in front of the cameras are ableTo go through difficult times and unexpected situations at all times pushes PE R3K 1am3n below to read full news: When unplanned things happen in front of the cameras, the images tend to be viral at high speeds by transforming it pressed ad,am and watch the full video by ingesting this not only that in the video below you have the opportunity to watch the cloud press below",0
"Where did Alba Hoxha remain? She also started the holidays. Alba Hoxha on her Instagram account where there are many followers, posted a photo detached from the beach, where she is seen wearing a bikini.I am positive in Covid ', the well -known actress still ill interteant in this image has also been the script that the moderator left. ""I remain in the south ????We have to go to the north ... ”she said. (Kosova Sot Online",1
"Menduh Thaçi: Mulla Sula is a k'Riminiel he has no connection with Muslimism, nor to know and iman!No point in relation to Muslimism, he has no voting point lying. He has nothing to do with know or iman, he has changed the Constitution and made himself eternal, a man who does not give any responsibility anywhere",0
"They attempt to smuggle 19 sheep from Serbia, arrested at the border crossing in the village of Nishevc in Pristina, the patrol unit has detained two suspects who were trying to cross the border illegally with 19 sheep matrix.event.By the decision of the prosecutor the case goes to regular procedure. The event happened yesterday around 11:15",1
"Russia plans to approve the coronavirus vaccine within two javerusa plans to become the first country in the world to approve a coronavirus vaccine.It is expected to do so in less than two weeks, despite concerns about its safety and effectiveness, writes CNN. Russian officials have said they are working to approve the vaccine on August 10 or even earlier, the vaccine created by the Gamaleya Institute withheadquarters in Moscow. It will be approved for public use, where health workers in the front line of the front will receive the vaccine first, officials said.The Americans were surprised to hear the sputnik satellite beep.Is the same as the vaccine.Russia will get there first, ”said Kirill Dmitriev, head of Russia's sovereign fund, who is financed the Russian vaccine. But Russia has not discovered scientific data on vaccine testing.Critics say the insistence to approve the vaccine comes after political pressure from the Kremlin.All rights are reserved",1
"Vjollca Haxhiu takes beautiful photos in the renowned Dubician Vjollca Haxhiu continues to be a well -known name in showbiz.of the dress. This time Dubai Vjollca performed an interesting photo with a position unlike others. Otherwise, she continues to be active in the music scene./Kosovar",1
"The Assembly votes International Financial Agreements MPs of the Assembly of Kosovo have voted in favor of five international financial agreements.84 MPs have voted in favor of these agreements, no against and no abstention. After some sessions that had blocked these agreements, today Vetevendosje MPs approved international agreements.Ratified to the Assembly are: The Draft Law on Ratification of the Funding Agreement between the Republic of Kosovo and the International Development Association for the Financial Sector Empowering Project, the Draft Law on Ratification of the Loan Agreement between the Republic of Kosovo and the European Bank for Reconstruction and DevelopmentFor the Gjilan Wastewater Development Project, the Draft Law on Ratification of the Agreement for Financing the Project for Cadastre of Realvity and Geospatial Infrastructure between the Republic of Kosovo and the International Development Association, thus this agreement has not been approved.European Union and the Republic of Kosovo on Kosovo's Participation in the Union Program ""Dogan 2020"", Draft Law on Ratification of the Agreement between the European Union and the Republic of Kosovo on the participation of Kosovo in the ""Fiscalis 2020"" Union Program",1
"It passed the suitcase at the airport, what captured X -rays terrified everyone (photo) as a passenger was passing his suitcase at the airport in the United States, suddenly the employee realizes that something was wrong. At the time she sees the X -rays, she sees.that inside there is something that goes wrong and recognized by the device is immediately pushed to open the suitcase. When he sees what he was terrified and immediately calls the security.They would have made the passengers caught, because if they get angry they are ready to explode from the bags to be five cobbles and if they had passed, they would have made the passengers to get into the plane, as if they get angry they are ready to explodebag",0
"CAS dismisses the appeal of the president of the Federation accused of sexual abuse, responds to the international football players' international footballers has welcomed the decision of the Sports Court to dismiss the appeal of former Afghan Football Federation President Keramuddin Karim,who was convicted of abusing the position of harassment and sexual abuse of national team footballers. The Sports Arbitration Court (CAS) decided on July 14 to refute the appeal of former President of the Football Federation of Afghanistan, Keramuddin Karim, for suspensioneternal from football for sexual abuse of footballers.Cas justified the decision, saying the panel estimated that Karim deserved the eternal suspension and a fine of 934,000 euros imposed by the FIFA Ethics Committee in June 2019. In the statementCas is said that ""Karim has violated the basic rights of people and damaged the physical and mental dignity and the integrity of the new footballers.""Chelsean or United is accused of sexual abuse of players during 2013 and 2018. Even during CAS sessions, some footballers testified against him about the sexual and physical abuse they had experienced.Their to justice again giving evidence against their attacker, this time in the Court of Sports Arbitration, ""says Fifpro's response.Their willingness to raise their voice and raise awareness of women's rights in football and to face problems with gender discrimination and sexual abuse in sports will help new generations of footballers andsneakers ”. (Kosova Sot Online",1
"Hashim Thaçi entrusted the post of president to Ramush Haradinaji, congratulations Kosovo <3ish-Kosovo Prime Minister, AAK leader Ramush Haradinaj, said that regarding the crimes committed in Kosovo after the war, they are no longer charges against the KLA""They are towards individuals.""He said the issue of partition of Kosovo was closed, as no one was capable of securing the separation. Asked if he would consider a proposal to become president if the indictment against Thaci was confirmed, Haradinaj left him openthe opportunity to consider the proposal",0
